"time","GEO_ID","NAME","SVY_COMP","SVY_COMP_LABEL","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT",
"Year","Geographic identifier code","Geographic Area Name","Survey Component","Meaning of Survey Component","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount",
"2012","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","4822",
"2013","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","4834",
"2014","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","4849",
"2015","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","4854",
"2016","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","4861",
"2017","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","4874",
"2018","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","4888",
"2019","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","4900",
"2020","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5025",
"2021","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5050",
"2022","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","5074",
"2012","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","744621",
"2013","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","744548",
"2014","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","740081",
"2015","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","734974",
"2016","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","743789",
"2017","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","744930",
"2018","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","742199",
"2019","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","739118",
"2020","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","743012",
"2021","0400000US01","Alabama","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","731144",
